CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type
"44","Bahamas","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","1951.0","","G","1782.0","","G","1793.0","","G","1716.0","","G","1720.0","","G","1731.0","","G","1731.0","","G","1742.0","","G","1793.0","","G","1797.0","","G","1797.0","","G","1797.0","","G","2083.0","","G","1870.0","","G","2153.0","","G","2274.0","","G","2329.0","","G","2420.0","","G","2461.0","","G","2585.0","","G"," "," "," "," "," "," "," "," "," "
"48","Bahrain","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","11885.0","","G","11503.0","","G","10590.0","","G","15141.0","","G","15255.0","","G","16021.0","","G","15621.0","","G","17319.0","","G","18405.0","","G","18020.0","","G","18643.0","","G","13927.0","","G","15698.0","","G","16468.0","","G","17510.0","","G","19208.0","","G","19497.0","","G","22398.0","","G","24301.0","","G","24221.0","","G"," "," "," "," "," "," "," "," "," "
"50","Bangladesh","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","15533.0","","G","15940.0","","G","17748.0","","G","17407.0","","G","18969.0","","G","22816.0","","G","24030.0","","G","25064.0","","G","24041.0","","G","25233.0","","G","27866.0","","G","32449.0","","G","33700.0","","G","33890.0","","G","39794.0","","G","37623.0","","G","48170.0","","G","48481.0","","G","46443.0","","G","51037.0","","G"," "," "," "," "," "," "," "," "," "
"52","Barbados","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","1074.0","","G","1206.0","","G","979.0","","G","1115.0","","G","748.0","","G","829.0","","G","851.0","","G","902.0","","G","1140.0","","G","1210.0","","G","1188.0","","G","1221.0","","G","1228.0","","G","1269.0","","G","1294.0","","G","1353.0","","G","1371.0","","G","1426.0","","G","1503.0","","G","1573.0","","G"," "," "," "," "," "," "," "," "," "
"112","Belarus","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)"," "," "," "," "," "," ","87487.0","","G","74451.0","","G","65914.0","","G","62119.0","","G","60157.0","","G","59519.0","","G","57598.0","","G","55819.0","","G","53469.0","","G","52596.0","","G","52390.0","","G","53722.0","","G","58038.0","","G","59064.0","","G","61829.0","","G","60282.0","","G","62816.0","","G","60293.0","","G"," "," "," "," "," "," "," "," "," "
"56","Belgium","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","108470.0","","G","117579.0","","G","114374.0","","G","108925.0","","G","113307.0","","G","112977.0","","G","119625.0","","G","116295.0","","G","119185.0","","G","115844.0","","G","115709.0","","G","114766.0","","G","107531.0","","G","114836.0","","G","111282.0","","G","108525.0","","G","106834.0","","G","102529.0","","G","104865.0","","G","103593.0","","G"," "," "," "," "," "," "," "," "," "
"84","Belize","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","312.0","","G","359.0","","G","356.0","","G","378.0","","G","374.0","","G","378.0","","G","308.0","","G","389.0","","G","370.0","","G","601.0","","G","689.0","","G","711.0","","G","359.0","","G","374.0","","G","381.0","","G","396.0","","G","407.0","","G","425.0","","G","407.0","","G","414.0","","G"," "," "," "," "," "," "," "," "," "
"204","Benin","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","715.0","","G","829.0","","G","906.0","","G","1133.0","","G","1265.0","","G","1327.0","","G","1265.0","","G","1217.0","","G","1214.0","","G","1562.0","","G","1617.0","","G","1738.0","","G","2054.0","","G","2321.0","","G","2512.0","","G","2398.0","","G","3876.0","","G","4499.0","","G","4492.0","","G","4855.0","","G"," "," "," "," "," "," "," "," "," "
"60","Bermuda","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","598.0","","G","510.0","","G","407.0","","G","480.0","","G","473.0","","G","466.0","","G","477.0","","G","477.0","","G","462.0","","G","495.0","","G","495.0","","G","495.0","","G","524.0","","G","510.0","","G","671.0","","G","444.0","","G","521.0","","G","517.0","","G","389.0","","G","466.0","","G"," "," "," "," "," "," "," "," "," "
"64","Bhutan","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","128.0","","G","187.0","","G","216.0","","G","187.0","","G","213.0","","G","249.0","","G","304.0","","G","396.0","","G","385.0","","G","385.0","","G","400.0","","G","389.0","","G","418.0","","G","378.0","","G","308.0","","G","396.0","","G","392.0","","G","392.0","","G","422.0","","G","422.0","","G"," "," "," "," "," "," "," "," "," "
"68","Bolivia","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","5504.0","","G","5779.0","","G","6648.0","","G","8038.0","","G","8907.0","","G","9424.0","","G","8735.0","","G","9842.0","","G","10326.0","","G","10312.0","","G","10224.0","","G","9824.0","","G","9567.0","","G","14129.0","","G","13084.0","","G","12468.0","","G","15049.0","","G","12875.0","","G","13872.0","","G","14488.0","","G"," "," "," "," "," "," "," "," "," "
"70","Bosnia and Herzegovina","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)"," "," "," "," "," "," ","3938.0","","G","3271.0","","G","3630.0","","G","3542.0","","G","5368.0","","G","12501.0","","G","16226.0","","G","18771.0","","G","23252.0","","G","20722.0","","G","22944.0","","G","23260.0","","G","24631.0","","G","25632.0","","G","27484.0","","G","28984.0","","G","31210.0","","G","30099.0","","G"," "," "," "," "," "," "," "," "," "
"72","Botswana","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","2178.0","","G","2149.0","","G","3297.0","","G","3509.0","","G","3509.0","","G","3524.0","","G","3139.0","","G","3212.0","","G","3832.0","","G","3546.0","","G","4276.0","","G","4334.0","","G","4485.0","","G","4265.0","","G","4378.0","","G","4613.0","","G","4609.0","","G","4686.0","","G","4980.0","","G","4430.0","","G"," "," "," "," "," "," "," "," "," "
"76","Brazil","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","208887.0","","G","219331.0","","G","220706.0","","G","230739.0","","G","242154.0","","G","258347.0","","G","284783.0","","G","300547.0","","G","312289.0","","G","320173.0","","G","327984.0","","G","337434.0","","G","332267.0","","G","321622.0","","G","337826.0","","G","347309.0","","G","347668.0","","G","363213.0","","G","387675.0","","G","367147.0","","G"," "," "," "," "," "," "," "," "," "
"92","British Virgin Islands","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","48.0","","G","48.0","","G","51.0","","G","51.0","","G","51.0","","G","51.0","","G","59.0","","G","59.0","","G","59.0","","G","59.0","","G","59.0","","G","59.0","","G","66.0","","G","77.0","","G","84.0","","G","88.0","","G","99.0","","G","99.0","","G","103.0","","G","110.0","","G"," "," "," "," "," "," "," "," "," "
